date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:52	223962/223962	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:a6fe0ced30ee4397e0bd66657039962f%22	https://vedix.com/pages/subscription	C:/My%20Web%20Sites/new/vedix.com/pages/subscription.html	(from )
21:16:53	529/529	---MCZ	200	added ('OK')	text/plain	etag:%22cacheable:24868828676e7c397589d133ad5518e2%22	https://vedix.com/robots.txt		(from )
21:16:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:46:53%20GMT	http://vedix.com/cdn/shop/t/7/assets/gtm-listener.js?v=143832317934479419541706011780	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/t/7/assets/gtm-listener.133c6.delayed	(from https://vedix.com/pages/subscription)
21:16:53	4129/4129	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2004%20Feb%202024%2017:39:55%20GMT	https://vedix.com/cdn/shop/t/7/assets/gtm-listener.js?v=143832317934479419541706011780	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/t/7/assets/gtm-listener33c6.js	(from https://vedix.com/pages/subscription)
21:16:54	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2017%20Mar%202024%2015:46:54%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/new/www.googletagmanager.com/gtm.35445.delayed	(from https://vedix.com/pages/subscription)
21:16:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:46:54%20GMT	http://vedix.com/cdn/shop/t/7/assets/application.css?v=306744504157958541710482134	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/t/7/assets/applicationce6e.css	(from https://vedix.com/pages/subscription)
21:16:55	65460/65460	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202024%2005:55:35%20GMT	https://vedix.com/cdn/shop/t/7/assets/application.css?v=306744504157958541710482134	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/t/7/assets/applicationce6e.css	(from https://vedix.com/pages/subscription)
21:16:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:46:54%20GMT	http://vedix.com/cdn/shop/t/7/assets/application.js?v=75409236201791254381710396791	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/t/7/assets/application78db.js	(from https://vedix.com/pages/subscription)
21:16:56	1267/1267	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2014%20Mar%202024%2006:13:49%20GMT	https://vedix.com/cdn/shop/t/7/assets/application.js?v=75409236201791254381710396791	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/t/7/assets/application78db.js	(from https://vedix.com/pages/subscription)
21:16:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Mar%202024%2015:46:56%20GMT	http://vedix.com/cdn/shop/t/7/assets/gtm-suite.js?v=72062079273560409831707821370	C:/My%20Web%20Sites/new/vedix.com/cdn/shop/t/7/assets/gtm-suiteffa9.js	(from https://vedix.com/pages/subscription)
